index,sitemap_url,base_url,base_uri,space,count,Headless?,cdf_membership,name,domain,notes,logo,re3,summary
neon,https://geodex.org/neon_prodcodes_sm.xml,https://data.neonscience.org/data-products,,5f9aefcee4b0511722cd7be7,179,,,National Ecological Observatory Network (NEON),http://www.neonscience.org/,"Publishing, need to get sitemap",https://www.neonscience.org/themes/custom/neon/logo.svg,http://www.re3data.org/repository/r3d100010290,"The National Ecological Observatory Network (NEON) is a continental-scale observatory designed to gather and provide 30 years of ecological data on the impacts of climate change, land use change and invasive species on natural resources and biodiversity. NEON is a project of the National Science Foundation, with many other U.S. agencies and NGOs cooperating."
unidata,,,,,,,,UNIDATA,http://www.unidata.ucar.edu/,nc-LD gh:Unidata/thredds,,https://www.re3data.org/repository/r3d100010355,"Unidata is a diverse community of education and research institutions with the common goal of sharing geoscience data and the tools to access and visualize that data. For more than 30 years, Unidata has been providing data, software tools, and support to enhance Earth-system education and research."
r2r,,https://doi.org/10.7284 https://www.rvdata.us/search/fileset ,,5f7cb710e4b018b1752f2b38,,,,Rolling Deck to Repository Program (R2R),https://www.rvdata.us/,"all diff pages w/same jsonld,generic",https://www.rvdata.us/images/Logo.4b1519be.png,http://www.re3data.org/repository/r3d100010735,The R2R Portal is a central shore-side gateway through which underway data from oceanographic expeditions will be routinely cataloged and securely transmitted to the national long-term archives including the National Geophysical Data Center (NGDC) and National Oceanographic Data Center (NODC).
,,,,,,,,NSF Facilities for Continental Scientific Drilling & Coring,http://csdco.umn.edu/,dfils currently working to get them online,,https://www.re3data.org/repository/r3d100012874,(recent name change and parnership with LacCore)
,,,,,,,,International Ocean Discovery Program,http://www.iodp.org/,dfils currently working to get them online,,http://www.re3data.org/repository/r3d100010267,"The International Ocean Discovery Program (IODP) is an international marine research collaboration that explores Earth's history and dynamics using ocean-going research platforms to recover data recorded in seafloor sediments and rocks and to monitor subseafloor environments. IODP depends on facilities funded by three platform providers with financial contributions from five additional partner agencies. Together, these entities represent 26 nations whose scientists are selected to staff IODP research expeditions conducted throughout the world's oceans. IODP expeditions are developed from hypothesis-driven science proposals aligned with the program's science plan Illuminating Earth's Past, Present, and Future. The science plan identifies 14 challenge questions in the four areas of climate change, deep life, planetary dynamics, and geohazards. Until 2013 under the name: International Ocean Drilling Program."
,,,,,,,,National Center for Atmospheric Research,https://ncar.ucar.edu/,,,http://www.re3data.org/repository/r3d100011663,"EOL’s platforms and instruments collect large and often unique data sets that must be validated, archived and made available to the research community. The goal of EOL data services is to advance science through delivering high-quality project data and metadata in ways that are as transparent, secure, and easily accessible as possible - today and into the future. By adhering to accepted standards in data formats and data services, EOL provides infrastructure to facilitate discovery and direct access to data and software from state-of-the-art commercial and locally-developed applications. EOL’s data services are committed to the highest standard of data stewardship from collection to validation to archival."
,,,,,,,,,,,,,
,,,,,,,,Core Research Center,https://geology.cr.usgs.gov/crc/,,,missing? included in usgs?,"The Core Research Center (CRC) was established in 1974 by the U.S. Geological Survey (USGS) to preserve valuable rock cores for use by scientists and educators from government, industry, and academia. The cylindrical sections of rock are permanently stored and available for examination and testing at the core storage and research facility in Denver, Colorado. The CRC is currently one of the largest and most heavily used public core repositories in the United States. The CRC encourages use of its facility by all interested parties."
,,,,,,,,National Snow and Ice Data Center,https://nsidc.org/,,,http://www.re3data.org/repository/r3d100010110,"NSIDC offers hundreds of scientific data sets for research, focusing on the cryosphere and its interactions. Data are from satellites and field observations. All data are free of charge."
datadiscoverystudio,http://datadiscoverystudio.org/sitemap/CinergiSiteIndex.xml,http://datadiscoverystudio.org/geoportal/rest/metadata/item,,5f7f8bb2e4b0b812d24b0e53,1600000,,,,http://datadiscoverystudio.org/geoportal,"have from 1st crawls, 85% in",http://datadiscoverystudio.org/geoportal/images/DataDiscoveryStudioBufferedWhite.png,,"Data Discovery Studio indexes over 1.6 million dataset descriptions from 40+ geoscience data repositories and community contributions. Going beyond data search, it adds semantic enhancements to the metadata using text analytics, exports dataset descriptions using standard ISO 19115 and schema.org markup for indexing by commercial search engines, allows users to contribute to and edit the metadata, trace provenance, organize the found datasets into sharable collections, and launch Jupyter notebooks on the found data."
